Date,Open,High,Low,Close,Adj Close,Volume
2010-10-19,206.699997,206.699997,202.110001,204.785004,187.390121,1176220
2010-10-20,203.199997,206.699997,201.505005,203.770004,186.461380,871870
2010-10-21,203.149994,213.000000,201.639999,212.089996,194.074615,1716380
2010-10-22,212.500000,214.500000,209.630005,213.979996,195.804108,1572580
2010-10-25,215.399994,215.699997,212.899994,213.774994,195.616501,852930
2010-10-26,214.695007,214.699997,211.300003,212.845001,194.765503,910810
2010-10-27,213.199997,213.199997,208.595001,209.910004,192.079788,858140
2010-10-28,211.300003,214.500000,207.539993,211.800003,193.809280,3223250
2010-10-29,213.000000,213.000000,209.000000,211.005005,193.081757,1900520
2010-11-01,216.949997,220.899994,214.899994,219.070007,200.461731,2186570
2010-11-02,217.199997,220.399994,216.615005,219.044998,200.438858,844550
2010-11-03,219.199997,227.669998,219.199997,224.929993,205.823959,2258390
2010-11-04,227.399994,227.399994,223.199997,224.175003,205.133118,959910
2010-11-08,230.500000,234.399994,228.500000,229.494995,210.001221,1578830
2010-11-09,230.199997,234.449997,227.580002,232.164993,212.444412,1343280
2010-11-10,232.300003,234.505005,231.000000,232.210007,212.485580,621270
2010-11-11,232.425003,234.800003,230.854996,232.800003,213.025467,528430
2010-11-12,235.000000,238.395004,230.500000,232.160004,212.439835,1352140
2010-11-15,229.000000,235.410004,227.600006,230.634995,211.044388,1263600
2010-11-16,232.300003,235.000000,228.529999,230.389999,210.820190,1300790
2010-11-18,234.800003,234.800003,227.500000,228.899994,209.456787,1809430
2010-11-19,230.110001,230.695007,220.199997,221.485001,202.671631,2331080
2010-11-22,223.500000,224.410004,214.875000,223.085007,204.135712,1514060
2010-11-23,222.770004,229.899994,219.785004,227.610001,208.276337,1180560
2010-11-24,228.300003,230.399994,225.470001,227.335007,208.024704,1028950
2010-11-25,227.500000,237.375000,222.600006,227.000000,207.718140,1944798
2010-11-26,229.449997,230.725006,220.324997,223.125000,204.172302,1297068
2010-11-29,226.975006,227.000000,221.050003,224.899994,205.796509,830126
2010-11-30,224.750000,227.500000,221.024994,223.774994,204.767090,1541054
2010-12-01,225.000000,226.500000,222.524994,224.324997,205.270355,1024502
2010-12-02,227.399994,229.300003,224.949997,226.449997,207.214859,1755540
2010-12-03,226.500000,228.199997,221.500000,222.449997,203.554657,1511732
2010-12-06,227.000000,231.500000,225.500000,227.975006,208.610336,1812332
2010-12-07,229.949997,233.875000,228.850006,231.675003,211.996033,2249692
2010-12-08,230.024994,231.000000,227.000000,229.199997,209.731262,1171240
2010-12-09,230.500000,232.500000,218.175003,224.550003,205.476273,1857606
2010-12-10,226.250000,229.500000,218.600006,224.500000,205.430511,855188
2010-12-13,226.774994,227.500000,221.350006,225.750000,206.574326,1177454
2010-12-14,227.899994,229.449997,223.500000,226.225006,207.008987,1636232
2010-12-15,227.500000,228.550003,222.000000,223.225006,204.263824,694932
2010-12-16,225.000000,225.949997,220.625000,225.000000,205.888031,1061144
2010-12-20,226.699997,226.699997,220.500000,221.625000,202.799728,1002280
2010-12-21,220.000000,221.500000,211.500000,214.074997,195.891022,4454016
2010-12-22,217.750000,217.750000,215.000000,215.600006,197.286514,2116514
2010-12-23,217.250000,229.000000,215.550003,226.475006,207.237747,1990918
2010-12-24,221.500000,238.000000,221.500000,236.649994,216.548462,3160432
2010-12-27,237.000000,242.375000,237.000000,239.175003,218.858978,1332940
2010-12-28,237.750000,242.500000,235.324997,241.625000,221.100876,2234692
2010-12-29,242.500000,242.699997,238.300003,240.149994,219.751190,2009792
2010-12-30,242.500000,244.125000,236.600006,241.225006,220.734848,2085146
2010-12-31,242.399994,244.800003,239.524994,242.475006,221.878677,1544020
